Hawkfish Size,Prey Density Start,Prey Remaining,Prey Consumed,Per caps,24,48,72,R
large,2,1,1,0.5,0,0,1,3.85802469135802E-06
large,2,1,1,0.5,0,0,1,3.85802469135802E-06
large,2,2,0,0,0,0,0,0
large,4,0,4,1,0,2,2,7.71604938271605E-06
large,6,2,4,0.666666666666667,0,1,3,1.15740740740741E-05
large,2,2,0,0,0,0,0,0
large,4,2,2,0.5,0,1,1,3.85802469135802E-06
large,6,3,3,0.5,0,2,1,3.85802469135802E-06
large,6,3,3,0.5,0,2,1,3.85802469135802E-06
large,4,3,1,0.25,0,0,1,3.85802469135802E-06
large,6,3,3,0.5,1,0,3,1.15740740740741E-05
large,6,3,3,0.5,0,0,3,1.15740740740741E-05
large,6,2,4,0.666666666666667,0,2,2,7.71604938271605E-06
small,2,2,0,0,0,0,0,0
small,2,2,0,0,0,0,0,0
small,6,2,4,0.666666666666667,0,3,1,3.85802469135802E-06
small,4,0,4,1,0,2,2,7.71604938271605E-06
small,4,0,4,1,0,4,0,0
small,6,2,4,0.666666666666667,0,2,2,7.71604938271605E-06
small,2,0,2,1,0,2,0,0
small,2,0,2,1,0,2,0,0
