,"Npredator","Nprey","Nconsumed","Time","R"
"1",2,52,22,41.25,0.533333333333333
"2",3,50,19,37.5,0.506666666666667
"3",3,51,32,41.5,0.771084337349398
"4",2,35,18,39,0.461538461538462
"5",1,50,26,28.5,0.912280701754386
"6",3,5,5,38.5,0.12987012987013
"7",2,12,8,38,0.210526315789474
"8",4,36,24,22.5,1.06666666666667
"9",2,23,6,33,0.181818181818182
"10",4,55,25,55.5,0.45045045045045
"11",2,54,30,29,1.03448275862069
"12",4,50,23,42.5,0.541176470588235
"13",3,35,19,48,0.395833333333333
"14",3,26,16,37.75,0.423841059602649
"15",3,25,10,50.25,0.199004975124378
"16",4,52,32,32.75,0.977099236641221
"17",2,4,4,55.5,0.0720720720720721
"18",2,35,25,33.5,0.746268656716418
"19",4,11,11,32,0.34375
"20",2,4,3,40.5,0.0740740740740741
"21",3,3,2,10,0.2
"22",3,51,22,48,0.458333333333333
"23",4,35,21,50.5,0.415841584158416
"24",3,24,18,48.75,0.369230769230769
"25",3,35,21,42.25,0.497041420118343
"26",1,12,6,48,0.125
"27",1,33,17,46,0.369565217391304
"28",2,12,8,44,0.181818181818182
"29",2,54,29,35,0.828571428571429
"30",2,35,19,47,0.404255319148936
"31",1,11,6,50,0.12
"32",3,12,9,37.5,0.24
"33",1,25,11,13,0.846153846153846
"34",1,50,22,41.5,0.530120481927711
"35",3,13,9,53,0.169811320754717
"36",2,34,22,50.5,0.435643564356436
"37",4,33,15,46.5,0.32258064516129
"38",3,13,11,49,0.224489795918367
"39",2,20,15,38.5,0.38961038961039
"40",2,12,8,43.5,0.183908045977012
"41",4,4,2,41.5,0.0481927710843374
"42",4,4,3,4,0.75
"43",4,49,29,40.5,0.716049382716049
"44",2,22,15,37.5,0.4
"45",4,12,11,47,0.234042553191489
"46",1,37,12,34.5,0.347826086956522
"47",4,13,9,40,0.225
"48",2,2,2,56,0.0357142857142857
"49",1,53,27,40,0.675
"50",4,16,9,40,0.225
"51",2,25,16,47,0.340425531914894
"52",4,4,3,10,0.3
"53",4,13,11,22,0.5
"54",1,13,5,41.5,0.120481927710843
"55",1,24,16,38,0.421052631578947
"56",4,4,3,37,0.0810810810810811
"57",1,4,3,39.5,0.0759493670886076
"58",3,13,8,46.5,0.172043010752688
"59",4,33,19,35.5,0.535211267605634
"60",2,6,6,38.5,0.155844155844156
"61",4,21,16,42,0.380952380952381
"62",1,20,9,46,0.195652173913044
"63",2,12,10,37,0.27027027027027
"64",3,26,18,43,0.418604651162791
"65",1,5,2,21.5,0.0930232558139535
"66",3,38,25,34.5,0.72463768115942
"67",4,20,17,39.5,0.430379746835443
"68",2,19,13,49,0.26530612244898
"69",3,4,3,35.5,0.0845070422535211
"70",3,35,21,37.5,0.56
"71",1,12,6,35.5,0.169014084507042
"72",4,23,17,40,0.425
"73",3,4,3,15.5,0.193548387096774
"74",1,18,12,50,0.24
"75",1,34,10,47,0.212765957446809
"76",1,50,15,39,0.384615384615385
"77",1,4,2,40,0.05
"78",3,23,15,40.5,0.37037037037037
"79",1,4,2,38,0.0526315789473684
"80",3,51,31,37.5,0.826666666666667
